Date,Product,Category,UnitsSold,UnitPrice,CostPerUnit,Region
2025-01-08,Organic Coffee, beverages,120,15.99,8.50,North
2025-01-08,Green Tea,beverages,85,12.49,6.75,North
2025-01-09,Cold Brew,beverages,200,18.99,10.00,South
2025-01-09,Matcha Powder,beverages,60,24.99,14.50,West
2025-01-10,Organic Coffee,beverages,150,15.99,8.50,East
2025-01-12,Herbal Tea,beverages,90,11.99,6.00,North
2025-01-15,Cold Brew,beverages,180,18.99,10.00,East
2025-01-16,Organic Coffee,beverages,200,15.99,8.50,South
2025-01-18,Green Tea,beverages,110,12.49,6.75,West
2025-01-20,Matcha Powder,beverages,75,24.99,14.50,North
2025-01-22,Herbal Tea,beverages,65,11.99,6.00,South
2025-01-25,Cold Brew,beverages,220,18.99,10.00,West
2025-01-28,Organic Coffee,beverages,180,15.99,8.50,West
2025-02-01,Green Tea,beverages,95,12.49,6.75,South
2025-02-03,Cold Brew,beverages,190,18.99,10.00,North
2025-02-05,Matcha Powder,beverages,55,24.99,14.50,East
2025-02-08,Organic Coffee,beverages,165,15.99,8.50,North
2025-02-10,Herbal Tea,beverages,80,11.99,6.00,West
2025-02-12,Green Tea,beverages,130,12.49,6.75,East
2025-02-15,Cold Brew,beverages,250,18.99,10.00,South
2025-02-18,Organic Coffee,beverages,220,15.99,8.50,South
2025-02-20,Matcha Powder,beverages,70,24.99,14.50,North
2025-02-22,Herbal Tea,beverages,100,11.99,6.00,East
2025-02-25,Green Tea,beverages,105,12.49,6.75,North
2025-02-28,Cold Brew,beverages,210,18.99,10.00,East
2025-03-02,Organic Coffee,beverages,190,15.99,8.50,East
2025-03-05,Matcha Powder,beverages,85,24.99,14.50,South
2025-03-08,Herbal Tea,beverages,75,11.99,6.00,South
2025-03-10,Cold Brew,beverages,235,18.99,10.00,West
2025-03-12,Green Tea,beverages,120,12.49,6.75,West
2025-03-15,Organic Coffee,beverages,240,15.99,8.50,West
2025-03-18,Cold Brew,beverages,195,18.99,10.00,North
2025-03-20,Matcha Powder,beverages,65,24.99,14.50,East
2025-03-22,Herbal Tea,beverages,95,11.99,6.00,North
2025-03-25,Green Tea,beverages,140,12.49,6.75,South
2025-03-28,Organic Coffee,beverages,175,15.99,8.50,South
2025-03-30,Cold Brew,beverages,260,18.99,10.00,South
