Date,Product,Region,Revenue,Cost,Quantity,CustomerType
2025-01-05,SaaS Basic,US,12000,4000,15,B2B
2025-01-12,SaaS Pro,US,25000,8000,8,B2B
2025-01-18,SaaS Basic,EU,8000,2800,10,B2B
2025-01-22,Consulting,US,15000,5000,5,B2B
2025-01-28,SaaS Pro,APAC,18000,6000,6,B2B
2025-02-02,SaaS Basic,US,14000,4500,18,B2B
2025-02-08,SaaS Pro,EU,22000,7500,7,B2B
2025-02-14,Consulting,US,12000,4000,4,B2B
2025-02-20,SaaS Basic,APAC,9500,3200,12,B2B
2025-02-25,SaaS Pro,US,28000,9000,9,B2B
2025-03-03,SaaS Basic,EU,9000,3000,11,B2B
2025-03-10,Consulting,US,18000,6000,6,B2B
2025-03-15,SaaS Pro,APAC,21000,7000,7,B2B
2025-03-20,SaaS Basic,US,16000,5200,20,B2B
2025-03-25,SaaS Pro,EU,24000,8000,8,B2B
2025-04-01,Consulting,US,10000,3500,4,B2B
2025-04-07,SaaS Basic,APAC,11000,3600,14,B2B
2025-04-12,SaaS Pro,US,30000,10000,10,B2B
2025-04-18,SaaS Basic,EU,8500,2800,11,B2B
2025-04-22,Consulting,US,20000,7000,7,B2B
2025-04-28,SaaS Pro,APAC,19000,6300,6,B2B
2025-05-05,SaaS Basic,US,15000,4800,19,B2B
2025-05-10,SaaS Pro,EU,26000,8500,9,B2B
2025-05-16,Consulting,US,14000,4800,5,B2B
2025-05-20,SaaS Basic,APAC,10500,3400,13,B2B
2025-05-25,SaaS Pro,US,32000,10500,11,B2B
2025-06-01,SaaS Basic,EU,9500,3100,12,B2B
2025-06-07,Consulting,US,22000,7500,8,B2B
2025-06-12,SaaS Pro,APAC,23000,7700,8,B2B
2025-06-18,SaaS Basic,US,17000,5500,22,B2B
2025-06-22,SaaS Pro,EU,28000,9200,10,B2B
2025-06-28,Consulting,US,16000,5500,6,B2B
